street,am_bathurst_baseline,am_bathurst_january,am_bathurst_february,am_bathurst_march,am_bathurst_april,am_bathurst_may,am_bathurst_june,am_spadina_baseline,am_spadina_january,am_spadina_february,am_spadina_march,am_spadina_april,am_spadina_may,am_spadina_june,am_bay_baseline,am_bay_january,am_bay_february,am_bay_march,am_bay_april,am_bay_may,am_bay_june,am_jarvis_baseline,am_jarvis_january,am_jarvis_february,am_jarvis_march,am_jarvis_april,am_jarvis_may,am_jarvis_june,pm_bathurst_baseline,pm_bathurst_january,pm_bathurst_february,pm_bathurst_march,pm_bathurst_april,pm_bathurst_may,pm_bathurst_june,pm_spadina_baseline,pm_spadina_january,pm_spadina_february,pm_spadina_march,pm_spadina_april,pm_spadina_may,pm_spadina_june,pm_bay_baseline,pm_bay_january,pm_bay_february,pm_bay_march,pm_bay_april,pm_bay_may,pm_bay_june,pm_jarvis_baseline,pm_jarvis_january,pm_jarvis_february,pm_jarvis_march,pm_jarvis_april,pm_jarvis_may,pm_jarvis_june
queen,1810,1640,1750,1760,1790,1960,1770,2000,1880,1790,1950,1990,2300,2130,2840,2030,2140,2330,2310,2930,2980,800,830,820,840,850,920,880,3700,3060,3720,3800,3600,5200,4840,4770,4270,4920,4860,5090,6090,6970,5400,4240,5200,4990,4890,8340,9280,1320,1140,1300,1210,1300,1450,1460
king,2820,2680,2620,2590,2580,2890,2780,4150,3580,3690,3540,3720,3740,3760,4760,3190,3440,4080,3900,4690,5690,2270,2510,2550,2650,2590,2640,2420,3590,3490,3630,3520,3290,4380,4200,6180,5970,6550,6500,6510,7370,7610,5960,4960,5420,5700,5540,8060,8190,3370,3760,4050,3930,4060,3920,4080
